iter	Passed	Remaining
0	5	5574
1	10	5374
2	16	5424
3	23	5734
4	28	5578
5	32	5439
6	37	5316
7	42	5252
8	47	5180
9	51	5131
10	56	5106
11	61	5063
12	66	5034
13	71	5022
14	75	4989
15	81	4984
16	85	4952
17	90	4932
18	95	4906
19	99	4895
20	104	4881
21	109	4864
22	114	4853
23	119	4847
24	124	4850
25	129	4833
26	133	4828
27	139	4845
28	144	4830
29	148	4816
30	153	4810
31	158	4799
32	163	4788
33	168	4778
34	172	4766
35	177	4760
36	182	4750
37	186	4732
38	191	4723
39	196	4712
40	201	4711
41	206	4707
42	211	4701
43	215	4689
44	220	4679
45	225	4674
46	230	4664
47	234	4654
48	239	4642
49	244	4640
50	248	4630
51	253	4619
52	258	4613
53	263	4609
54	268	4610
55	273	4607
56	278	4604
57	283	4596
58	287	4589
59	292	4582
60	297	4574
61	301	4567
62	306	4561
63	311	4552
64	316	4545
65	320	4536
66	325	4532
67	330	4524
68	336	4536
69	341	4539
70	347	4542
71	352	4542
72	358	4548
73	363	4552
74	369	4557
75	375	4564
76	381	4568
77	387	4579
78	393	4584
79	398	4586
80	404	4591
81	409	4589
82	415	4595
83	420	4586
84	425	4578
85	430	4575
86	435	4574
87	440	4564
88	445	4557
89	450	4550
90	454	4540
91	459	4531
92	464	4529
93	469	4523
94	474	4521
95	479	4519
96	484	4514
97	489	4507
98	494	4502
99	499	4494
100	504	4489
101	509	4483
102	514	4477
103	518	4470
104	524	4468
105	529	4462
106	533	4454
107	538	4446
108	543	4440
109	547	4433
110	552	4427
111	557	4421
112	562	4413
113	567	4406
114	572	4403
115	576	4395
116	581	4386
117	586	4380
118	591	4375
119	595	4368
120	600	4362
121	605	4354
122	609	4348
123	614	4340
124	619	4333
125	623	4328
126	628	4323
127	634	4319
128	639	4315
129	643	4309
130	648	4301
131	653	4295
132	657	4288
133	662	4282
134	667	4276
135	672	4269
136	676	4262
137	681	4256
138	685	4248
139	690	4241
140	695	4234
141	699	4227
142	704	4219
143	708	4214
144	713	4205
145	717	4199
146	722	4191
147	739	4255
148	743	4247
149	747	4237
150	752	4232
151	757	4228
152	762	4223
153	767	4217
154	772	4209
155	776	4202
156	781	4195
157	786	4190
158	790	4182
159	795	4176
160	800	4170
161	805	4165
162	810	4159
163	815	4154
164	819	4148
165	824	4141
166	828	4134
167	833	4126
168	837	4120
169	842	4113
170	847	4107
171	851	4100
172	856	4094
173	861	4088
174	866	4084
175	871	4079
176	875	4072
177	880	4065
178	885	4059
179	889	4054
180	894	4049
181	899	4042
182	904	4037
183	908	4030
184	913	4024
185	917	4017
186	922	4011
187	927	4005
188	932	4000
189	936	3994
190	941	3988
191	946	3981
192	950	3975
193	955	3968
194	960	3963
195	964	3958
196	969	3952
197	974	3946
198	978	3939
199	983	3934
200	987	3927
201	992	3920
202	997	3916
203	1002	3912
204	1007	3906
205	1012	3901
206	1017	3898
207	1022	3892
208	1026	3885
209	1031	3878
210	1035	3872
211	1040	3867
212	1045	3862
213	1050	3857
214	1054	3851
215	1059	3846
216	1064	3839
217	1068	3833
218	1073	3827
219	1077	3821
220	1082	3816
221	1087	3810
222	1092	3805
223	1096	3799
224	1101	3793
225	1106	3788
226	1110	3783
227	1115	3777
228	1121	3774
229	1126	3769
230	1131	3766
231	1136	3762
232	1141	3758
233	1146	3753
234	1151	3748
235	1156	3745
236	1161	3739
237	1166	3734
238	1171	3730
239	1176	3724
240	1181	3720
241	1185	3714
242	1190	3708
243	1195	3703
244	1200	3698
245	1205	3693
246	1209	3688
247	1214	3682
248	1219	3676
249	1223	3670
250	1228	3665
251	1232	3659
252	1237	3653
253	1242	3649
254	1247	3645
255	1252	3640
256	1257	3635
257	1262	3630
258	1267	3624
259	1271	3618
260	1276	3614
261	1281	3608
262	1285	3603
263	1290	3597
264	1295	3592
265	1300	3587
266	1304	3582
267	1309	3577
268	1314	3572
269	1319	3567
270	1324	3561
271	1328	3556
272	1333	3550
273	1337	3545
274	1342	3540
275	1347	3534
276	1352	3529
277	1357	3524
278	1361	3518
279	1366	3513
280	1371	3509
281	1376	3505
282	1381	3499
283	1391	3508
284	1403	3519
285	1415	3533
286	1420	3530
287	1429	3534
288	1434	3529
289	1439	3523
290	1443	3517
291	1448	3513
292	1453	3507
293	1458	3501
294	1463	3496
295	1467	3490
296	1472	3485
297	1477	3479
298	1481	3473
299	1486	3468
300	1491	3463
301	1496	3458
302	1501	3452
303	1505	3447
304	1510	3442
305	1515	3437
306	1520	3431
307	1525	3426
308	1529	3421
309	1534	3415
310	1539	3410
311	1543	3404
312	1548	3399
313	1553	3393
314	1558	3388
315	1562	3382
316	1567	3376
317	1572	3371
318	1576	3365
319	1581	3360
320	1586	3354
321	1590	3349
322	1595	3344
323	1600	3339
324	1605	3334
325	1610	3329
326	1614	3323
327	1619	3318
328	1624	3312
329	1628	3307
330	1633	3301
331	1638	3296
332	1643	3291
333	1647	3285
334	1652	3279
335	1656	3274
336	1661	3269
337	1666	3264
338	1672	3260
339	1677	3256
340	1681	3250
341	1686	3244
342	1691	3239
343	1696	3234
344	1701	3229
345	1705	3224
346	1710	3219
347	1715	3214
348	1720	3208
349	1724	3202
350	1729	3197
351	1734	3193
352	1739	3188
353	1744	3184
354	1749	3179
355	1754	3173
356	1759	3169
357	1765	3165
358	1770	3160
359	1775	3156
360	1780	3152
361	1786	3148
362	1791	3143
363	1796	3138
364	1801	3133
365	1806	3128
366	1811	3124
367	1816	3120
368	1822	3116
369	1827	3112
370	1834	3109
371	1840	3107
372	1847	3105
373	1855	3105
374	1862	3103
375	1877	3115
376	1882	3111
377	1888	3107
378	1894	3104
379	1901	3102
380	1907	3099
381	1913	3095
382	1920	3094
383	1926	3090
384	1932	3086
385	1937	3081
386	1943	3077
387	1949	3074
388	1955	3070
389	1960	3066
390	1965	3060
391	1970	3056
392	1975	3051
393	1981	3047
394	1986	3042
395	1991	3037
396	1996	3032
397	2001	3027
398	2006	3022
399	2012	3018
400	2017	3014
401	2022	3008
402	2027	3003
403	2032	2998
404	2037	2993
405	2042	2988
406	2048	2983
407	2052	2978
408	2057	2973
409	2062	2967
410	2067	2962
411	2072	2957
412	2077	2952
413	2082	2947
414	2087	2942
415	2092	2937
416	2097	2932
417	2103	2928
418	2108	2924
419	2114	2919
420	2119	2914
421	2124	2909
422	2129	2904
423	2134	2899
424	2139	2894
425	2145	2890
426	2150	2885
427	2155	2880
428	2160	2875
429	2165	2870
430	2170	2865
431	2175	2860
432	2180	2855
433	2186	2851
434	2191	2846
435	2196	2841
436	2201	2836
437	2206	2831
438	2211	2826
439	2216	2821
440	2222	2816
441	2230	2816
442	2239	2815
443	2246	2813
444	2252	2808
445	2258	2805
446	2265	2803
447	2272	2800
448	2279	2797
449	2286	2794
450	2294	2792
451	2302	2791
452	2309	2788
453	2315	2784
454	2323	2782
455	2330	2779
456	2336	2776
457	2342	2772
458	2349	2768
459	2355	2765
460	2361	2761
461	2367	2757
462	2373	2752
463	2380	2749
464	2387	2746
465	2393	2742
466	2399	2738
467	2406	2735
468	2412	2731
469	2419	2728
470	2425	2723
471	2432	2721
472	2439	2717
473	2445	2713
474	2452	2710
475	2459	2707
476	2465	2703
477	2472	2700
478	2479	2696
479	2485	2693
480	2492	2689
481	2498	2685
482	2504	2680
483	2510	2676
484	2517	2673
485	2524	2669
486	2531	2666
487	2537	2661
